Sno,District,State,Category,District_level_Infected,Deaths,Total number of Primary Health Centres,Total number of Community Health Centres,Total number of Subdivisional Hospitals,Total number of Divisional Hospitals
304,Champhai,Mizoram,Green,0,0,11,2,0,1
305,Sivasagar,Assam,Green,7,0,38,4,2,1
306,Jorhat,Assam,Green,8,0,24,6,2,0
307,Sonitpur,Assam,Green,14,0,46,9,2,1
308,Serchhip,Mizoram,Green,0,0,5,1,0,1
309,Lunglei,Mizoram,Green,0,0,11,1,1,1
310,Saiha,Mizoram,Green,0,0,4,0,0,1
311,Lawngtlai,Mizoram,Green,0,0,5,1,0,1
312,North Tripura,Tripura,Yellow,3,0,6,1,1,1
313,Dhalai,Tripura,Green,161,0,6,2,3,1
314,Sipahijala,Tripura,Green,0,0,,,,
315,Gomati,Tripura,Yellow,1,0,12,3,2,1
316,Khowai,Tripura,Green,1,0,,,,
317,West Tripura,Tripura,Green,0,0,13,3,0,1
318,South Tripura,Tripura,Green,0,0,7,5,2,1
319,Unokoti,Tripura,Green,0,0,,,,
320,Ribhoi,Meghalaya,Green,0,0,8,3,0,1
321,West Khasi Hills,Meghalaya,Green,0,0,15,2,0,2
322,East Jaintia Hills,Meghalaya,Green,0,0,,,,
323,East Khasi Hills,Meghalaya,Yellow,13,1,25,7,0,2
324,South Garo Hills,Meghalaya,Green,0,0,6,1,0,1
325,West Garo Hills,Meghalaya,Green,0,0,9,5,0,2
326,East Garo Hills,Meghalaya,Green,0,0,9,1,0,0
327,West Jaintia Hills,Meghalaya,Green,0,0,12,3,0,1
328,Golaghat,Assam,Green,16,0,35,4,1,1
329,Udalguri,Assam,Green,2,0,15,6,0,1
330,Chirang,Assam,Green,0,0,19,3,0,1
331,South West Khasi Hills,Meghalaya,Green,0,0,4,2,0,0
332,North Garo Hills,Meghalaya,Green,0,0,,,,
333,South West Garo Hills,Meghalaya,Green,0,0,,,,
334,Tinsukia,Assam,Green,1,0,15,8,0,1
335,Dhemaji,Assam,Green,0,0,15,4,0,1
336,Dibrugarh,Assam,Green,1,0,21,9,0,0
337,Lakhimpur,Assam,Green,4,0,17,8,1,1
338,Baksa,Assam,Green,0,0,25,6,0,1
339,Nagaon,Assam,Green,6,0,58,18,0,1
340,Kokrajhar,Assam,Green,7,0,38,2,1,1
341,Darrang,Assam,Green,1,0,29,7,0,1
342,Barpeta,Assam,Green,4,0,33,11,1,1
343,Nalbari,Assam,Green,8,0,33,11,0,1
344,Morigaon,Assam,Yellow,10,0,30,5,0,1
345,Kamrup,Assam,Green,10,0,55,13,1,1
346,Bongaigaon,Assam,Green,5,0,16,4,0,1
347,Dhubri,Assam,Yellow,8,0,25,6,2,1
348,Kamrup Metropolitan,Assam,Green,154,3,11,3,0,1
349,Goalpara,Assam,Yellow,6,0,19,6,0,1
350,Dima Hasao,Assam,Green,7,0,8,2,0,1
351,Cachar,Assam,Green,24,0,20,6,0,1
352,Karimganj,Assam,Green,5,0,22,7,0,1
353,Hailakandi,Assam,Green,2,1,11,3,0,1
354,Charaideo,Assam,Green,0,0,,,,
355,Majuli,Assam,Green,0,0,,,,
356,Biswanath,Assam,Green,2,0,,,,
357,Hojai,Assam,Green,15,0,,,,
358,South Salmara-mankachar,Assam,Green,1,0,,,,
359,Karbi Anglong East,Assam,Green,0,0,26,8,1,1
360,Karbi Anglong West,Assam,Green,2,0,,,,
361,South Twenty Four Pargan*,West Bengal,Red,194,5,76,33,12,2
362,Darjiling,West Bengal,Red,18,1,7,0,,
363,Jalpaiguri,West Bengal,Red,4,1,2,8,3,1
364,Dakshin Dinajpur,West Bengal,Green,4,0,22,9,3,1
365,Maldah,West Bengal,Red,50,0,40,17,2,0
366,Murshidabad,West Bengal,Yellow,35,1,81,28,7,0
367,Birbhum,West Bengal,Green,21,0,11,19,4,2
368,Nadia,West Bengal,Red,25,0,64,18,5,1
369,Purba Barddhaman,West Bengal,Red,26,1,18,24,3,0
370,Puruliya,West Bengal,Green,0,0,55,20,3,1
371,Bankura,West Bengal,Green,0,0,73,22,5,1
372,North Twenty Four Pargan*,West Bengal,Red,538,37,149,35,12,2
373,Hooghly,West Bengal,Red,189,6,91,22,6,1
374,Paschim Medinipur,West Bengal,Red,25,0,26,8,3,1
375,Howrah,West Bengal,Red,766,36,36,16,8,1
376,Palamu,Jharkhand,Green,15,0,22,7,2,1
377,Chatra,Jharkhand,Green,1,0,8,5,0,1
378,Garhwa,Jharkhand,Yellow,47,0,10,6,1,1
379,Jamtara,Jharkhand,Green,2,0,6,4,0,1
380,Dhanbad,Jharkhand,Yellow,7,0,20,7,0,0
381,Latehar,Jharkhand,Green,4,0,4,6,0,1
382,Bokaro,Jharkhand,Yellow,15,1,2,8,3,1
383,Ramgarh,Jharkhand,Green,3,0,5,4,0,1
384,Ranchi,Jharkhand,Red,112,2,18,13,1,1
385,Lohardaga,Jharkhand,Green,2,0,9,4,0,1
386,Gumla,Jharkhand,Green,10,0,0,10,0,1
387,Khunti,Jharkhand,Green,0,0,7,5,0,1
388,Saraikela-kharsawan,Jharkhand,Green,4,0,4,6,1,1
389,Purbi Singhbhum,Jharkhand,Green,16,0,0,9,1,1
390,Pashchimi Singhbhum,Jharkhand,Green,1,0,9,13,1,1
391,Simdega,Jharkhand,Yellow,3,0,7,6,0,1
392,Kodarma,Jharkhand,Yellow,16,0,6,6,0,1
393,Hazaribagh,Jharkhand,Yellow,33,0,7,8,1,1
394,Bhadrak,Odisha,Red,98,0,21,7,0,1
395,Dhenkanal,Odisha,Yellow,2,0,25,10,2,1
396,Jajapur,Odisha,Red,240,0,15,12,0,1
397,Subarnapur,Odisha,Green,0,0,1,5,1,1
398,Nuapada,Odisha,Green,0,0,5,5,1,1
399,Balangir,Odisha,Green,11,0,18,15,2,1
400,Baudh,Odisha,Green,33,0,0,5,0,1
401,Cuttack,Odisha,Green,57,1,14,22,2,1
402,Kandhamal,Odisha,Green,5,0,8,14,1,1
403,Kolkata,West Bengal,Red,1662,178,144,4,0,0
404,Purba Medinipur,West Bengal,Red,101,1,40,24,7,2
405,Alipurduar,West Bengal,Green,0,0,,,,
406,Paschim Barddhaman,West Bengal,Yellow,21,2,,,,
407,Kalimpong,West Bengal,Red,6,1,,,,
408,Jhargram,West Bengal,Green,3,0,,,,
409,Cooch Behar,West Bengal,Green,0,0,31,12,4,1
410,Uttar Dinajpur,West Bengal,Red,17,0,24,10,4,1
411,Sahibganj,Jharkhand,Green,0,0,10,6,1,1
412,Godda,Jharkhand,Green,1,0,9,7,0,1
413,Pakur,Jharkhand,Green,0,0,9,5,0,1
414,Giridih,Jharkhand,Yellow,16,0,17,11,0,1
415,Dumka,Jharkhand,Green,2,0,20,12,0,1
416,Deoghar,Jharkhand,Yellow,5,0,1,9,1,1
417,Nayagarh,Odisha,Green,32,0,16,12,1,1
418,Khordha,Odisha,Yellow,74,3,20,16,0,2
419,Kalahandi,Odisha,Yellow,13,0,20,18,1,1
420,Jagatsinghapur,Odisha,Green,30,0,13,11,0,1
421,Puri,Odisha,Green,65,0,13,17,0,1
422,Nabarangapur,Odisha,Green,1,0,12,10,1,1
423,Rayagada,Odisha,Green,0,0,7,11,1,1
424,Koraput,Odisha,Yellow,1,0,6,16,0,1
425,Malkangiri,Odisha,Green,8,0,5,6,2,1
